step,length,diameter,area,mass,stiffness,class,stage
1,0.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,1.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,2.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,3.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,4.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,5.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,6.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,7.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,8.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,9.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,10.0,3.7,10.752100856911069,1089.2834802361754,2398289195453.7114,Head,Payload
1,11.0,3.7,10.752100856911069,80.19257114526619,2398289195453.7114,Construction,Second
1,12.0,3.7,10.752100856911069,80.19257114526619,2398289195453.7114,Construction,Second
1,12.5,3.7,10.752100856911069,80.19257114526619,2398289195453.7114,Construction,Second
1,13.3,3.7,10.752100856911069,14789.079190144244,2398289195453.7114,Oxidizer,Second
1,14.3,3.7,10.752100856911069,14789.079190144244,2398289195453.7114,Oxidizer,Second
1,15.3,3.7,10.752100856911069,14789.079190144244,2398289195453.7114,Oxidizer,Second
1,16.3,3.7,10.752100856911069,14789.079190144244,2398289195453.7114,Oxidizer,Second
1,17.3,3.7,10.752100856911069,14789.079190144244,2398289195453.7114,Oxidizer,Second
1,18.3,3.7,10.752100856911069,14789.079190144244,2398289195453.7114,Oxidizer,Second
1,18.8,3.7,10.752100856911069,80.19257114526619,2398289195453.7114,Construction,Second
1,19.6,3.7,10.752100856911069,7604.269617694224,2398289195453.7114,Fuel,Second
1,20.6,3.7,10.752100856911069,7604.269617694224,2398289195453.7114,Fuel,Second
1,21.6,3.7,10.752100856911069,7604.269617694224,2398289195453.7114,Fuel,Second
1,22.6,3.7,10.752100856911069,7604.269617694224,2398289195453.7114,Fuel,Second
1,23.6,3.7,10.752100856911069,7604.269617694224,2398289195453.7114,Fuel,Second
1,23.8,3.7,10.752100856911069,2546.8592378119333,2398289195453.7114,Tail,Second
1,24.8,3.7,10.752100856911069,2546.8592378119333,2398289195453.7114,Tail,Second
1,25.3,3.7,10.752100856911069,80.19257114526619,2398289195453.7114,Construction,First
1,26.3,3.7,10.752100856911069,80.19257114526619,2398289195453.7114,Construction,First
1,26.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,27.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,28.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,29.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,30.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,31.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,32.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,33.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,34.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,35.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,36.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,37.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,38.5,3.7,10.752100856911069,24169.323263043552,2398289195453.7114,Oxidizer,First
1,39.0,3.7,10.752100856911069,80.19257114526619,2398289195453.7114,Construction,First
1,40.0,3.7,10.752100856911069,80.19257114526619,2398289195453.7114,Construction,First
1,41.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,42.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,43.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,44.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,45.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,46.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,47.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,48.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,49.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,50.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,51.0,3.7,10.752100856911069,10773.166067193866,2398289195453.7114,Fuel,First
1,52.0,3.7,10.752100856911069,1005.1925711452661,2398289195453.7114,Tail,First
1,53.0,3.7,10.752100856911069,1005.1925711452661,2398289195453.7114,Tail,First
1,54.0,3.7,10.752100856911069,1005.1925711452661,2398289195453.7114,Tail,First
1,55.0,3.7,10.752100856911069,1005.1925711452661,2398289195453.7114,Tail,First
