length,form_1,form_2,form_3,difform_1,difform_2,difform_3
30,-0.11511892763678744,-0.11610096703298815,0.18387662734112936,-0.008461656410838583,0.0660740076152009,0.04139601973199167
31,-0.12026743448913348,-0.04789536313939929,0.20255474534786133,-0.005148506852346038,0.06820560389358887,0.01867811800673197
32,-0.12207605478413,0.019970418951915713,0.1978031706208554,-0.001808620294996524,0.067865782091315,-0.004751574727005936
33,-0.12055610566576414,0.08490593790043113,0.17070013279729643,0.0015199491183658653,0.06493551894851542,-0.027103037823558968
34,-0.11575754056494493,0.14436677677966173,0.12407421347162031,0.004798565100819205,0.05946083887923059,-0.04662591932567611
35,-0.10776846951065976,0.19601237894395213,0.062263194859270836,0.007989071054285174,0.0516456021642904,-0.06181101861234948
36,-0.09671363355971048,0.23785055954397172,-0.009303160857188826,0.011054835950949277,0.04183818060001959,-0.07156635571645967
37,-0.08275186137196636,0.2683630690967257,-0.08465765426914518,0.013961772187744123,0.030512509552753975,-0.07535449341195635
38,-0.06607254754849864,0.2866074257739976,-0.1579391656334988,0.016679313823467712,0.018244356677271922,-0.07328151136435362
39,-0.04689026590148112,0.29224624085138706,-0.2239412314041132,0.019182281647017525,0.005638815077389447,-0.0660020657706144
40,-0.02543613192305891,0.2854125185443405,-0.27821965862036613,0.021454133978422208,-0.006833722307046541,-0.05427842721625292
41,-0.0019482635391073581,0.26647837317223927,-0.31683799823205416,0.023487868383951553,-0.018934145372101252,-0.038618339611688035
42,0.023334012597632608,0.2359517127579427,-0.33637644112868476,0.025282276136739966,-0.03052666041429658,-0.019538442896630592
43,0.050172538241282656,0.19453020366976131,-0.3343533745346848,0.02683852564365005,-0.041421509088181374,0.002023066593999978
44,0.07833282936995747,0.14314664153713422,-0.30957643404851604,0.028160291128674818,-0.0513835621326271,0.02477694048616874
45,0.1075876722196629,0.08294324688577041,-0.26220362647054013,0.02925484284970542,-0.060203394651363804,0.047372807577975906
46,0.13772113455529905,0.015215502225259721,-0.19363995220724875,0.030133462335636158,-0.0677277446605107,0.06856367426329138
47,0.16853273429253252,-0.058653672707870426,-0.10634215266351052,0.030811599737233464,-0.07386917493313015,0.08729779954373823
48,0.19984173488574983,-0.13726801229450725,-0.003537050308501354,0.03130900059321731,-0.07861433958663683,0.10280510235500917
49,0.23149153911606532,-0.21929877566489836,0.11113683426760013,0.03164980423031549,-0.08203076337039111,0.11467388457610148
50,0.26335415574442406,-0.3035708983273367,0.23405164478261883,0.031862616628358736,-0.08427212266243833,0.12291481051501871
51,0.29533471695248825,-0.3891530040484417,0.36206220025474894,0.031980561208064195,-0.08558210572110503,0.1280105554721301
52,0.3273733752973602,-0.4754202480354727,0.49289662055897443,0.03203865834487196,-0.086267243987031,0.13083442030422548
53,0.3594390002795659,-0.5620240125961995,0.6251881767717523,0.032065624982205665,-0.08660376456072677,0.13229155621277788
54,0.3915165390538492,-0.6487812466236207,0.7581615668918518,0.03207753877428332,-0.08675723402742119,0.13297339012009946
55,0.4235981290000876,-0.7355912430640238,0.891371407893477,0.03208158994623839,-0.0868099964404031,0.13320984100162525
