time,freq_1,freq_2,freq_3,freq_mass_1,freq_mass_2,freq_mass_3
0.0,0.8028360825569504,2.1908857233967893,3.751361946954337,67647335.7264554,25556983.10982289,41295280.349576615
1.0,0.8049449799496207,2.1932550617953184,3.756268831913718,66461374.11629461,25520179.392102797,41715067.73410456
2.0,0.8071256140744596,2.195634041458036,3.7613696184455163,65265501.94943644,25485537.55050409,42158426.125035524
3.0,0.8093820684267381,2.198022865939696,3.7666757444228556,64059735.0411832,25453172.878525347,42627376.14925981
4.0,0.8117187426450881,2.200421754052053,3.7721995387146054,62844099.84859349,25423210.22069619,43124170.84059342
5.0,0.8141403836803882,2.202830941355628,3.777954306554979,61618634.42260826,25395784.98550093,43651329.34806922
6.0,0.8166521207200109,2.205250681826147,3.7839544244735674,60383389.442111455,25371044.28965535,44211676.577589735
7.0,0.8192595044048269,2.207681249720066,3.790215445980016,59138429.3378996,25349148.25406817,44808390.003513634
8.0,0.8219685509657095,2.2101229416673576,3.796754219351108,57883833.515435085,25330271.47536532,45445055.183183745
9.0,0.8230517600993492,2.2125389008349154,3.8003289978130295,57365881.41940441,25350143.324118026,45568544.052720204
10.0,0.823088728493779,2.2149505833647862,3.801971449050026,57305342.420770414,25393010.582356986,45357123.11221277
11.0,0.8231259079034615,2.21738273215408,3.803634920875524,57244559.21359883,25436489.026744317,45144932.889329314
12.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
13.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
14.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
15.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
16.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
17.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
18.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
19.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
20.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
21.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
22.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
23.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
24.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
25.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
26.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
27.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
28.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
29.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
30.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
31.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
32.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
33.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
34.0,0.8231271025976129,2.2174609963670995,3.803688568374251,57242607.73639305,25437892.281810816,45138121.86038212
35.0,0.824922891438177,2.2176271711804825,3.810168118121908,56373407.90031488,25515692.492859416,45710563.36021324
36.0,0.8270477226311646,2.2178235213971367,3.8178428108691516,55371517.41387444,25608126.04827826,46405918.894554876
37.0,0.8292440762451984,2.218026170130301,3.8257837031516093,54365086.58476885,25704103.346215356,47145868.20136819
38.0,0.8315156175740036,2.2182354240599986,3.834003531817523,53354211.836389445,25803830.65434819,47934582.9216252
39.0,0.8338662657831307,2.2184516100132754,3.842515737445588,52338997.92367428,25907530.457445465,48776746.06644389
40.0,0.8363002161580427,2.218675076638186,3.8513344991196794,51319558.468174115,26015443.073259786,49677629.57209813
41.0,0.838821964716254,2.2189061962466097,3.860474768950052,50296016.53176315,26127828.46445272,50643185.900895104
42.0,0.8414363354790877,2.219145366846113,3.869952305736059,49268505.23250432,26244968.274750073,51680156.654895544
43.0,0.8428143094992495,2.220234405003221,3.8754264723852128,48729882.52288179,26320701.041214578,52152373.76918749
44.0,0.8428380314452912,2.223093814028159,3.8769374485553825,48690342.84273519,26362663.619249452,51897304.89627169
45.0,0.842861887097756,2.2259794248039575,3.8784685841615256,48650631.928038016,26405242.550769903,51641234.60256274
46.0,0.8428858775854358,2.2288915630885517,3.8800202617095336,48610748.68684151,26448452.621366553,51384165.01720162
47.0,0.842910004049771,2.2318305590491225,3.8815928728035614,48570692.01814875,26492309.0881033,51126098.53800725
48.0,0.8429342676450897,2.2347967472994212,3.883186818396254,48530460.811824724,26536827.697621554,50867037.84120455
49.0,0.8429586695387653,2.2377904669358464,3.884802509046066,48490053.94850385,26582024.70502118,50606985.891092375
50.0,0.8429832109113841,2.240812061571517,3.8864403651826214,48449470.29949931,26627916.89357834,50345945.950249076
51.0,0.843007892956958,2.2438618793684775,3.888100817379157,48408708.72670846,26674521.595341068,50083921.58968509
52.0,0.843032716883115,2.2469402730678323,3.8897843066338944,48367768.082518935,26721856.712643635,49820916.69984307
53.0,0.8430576839112534,2.250047600017792,3.8914912846582426,48326647.20971343,26769940.7405711,49556935.501421236
54.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
55.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
56.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
57.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
58.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
59.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
60.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
61.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
62.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
63.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
64.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
65.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
66.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
67.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
68.0,0.8430750677544254,2.2522177779335175,3.8926880422104224,48298048.88011264,26803706.678148635,49373456.82539718
69.0,0.8445617215959069,2.253347815492795,3.902235161078437,47662500.80104596,27007504.88903719,49790899.16492602
70.0,0.8466225884320225,2.254912324595725,3.915593957562644,46802827.733868085,27293996.237448975,50392258.99932316
71.0,0.8487543814058768,2.2565281677798277,3.9295634764522944,45938774.4988335,27595288.250917736,51043314.84916327
72.0,0.8509607932112504,2.258197805668348,3.94418247027265,45070435.79443584,27912514.49590993,51749838.072398566
73.0,0.8532457744363857,2.259923850522384,3.9594925570312958,44197915.60063704,28246923.683665395,52518473.68701589
74.0,0.8556135561433965,2.2617090773114423,3.9755384121251303,43321327.841649234,28599894.28189568,53356904.364793524
75.0,0.8580686748168194,2.2635564356731277,3.9923679585628222,42440797.101279624,28972951.358505294,54274051.277596116
76.0,0.8606159999693248,2.2654690628316345,4.010032549281356,41556459.39591766,29367786.057595327,55280321.45843998
77.0,0.8622928849796754,2.266725789793063,4.021771873497765,40989954.885028005,29632103.23161188,55974884.58691482
78.0,0.8622928849796754,2.266725789793063,4.021771873497765,40989954.885028005,29632103.23161188,55974884.58691482
79.0,0.8622928849796754,2.266725789793063,4.021771873497765,40989954.885028005,29632103.23161188,55974884.58691482
80.0,0.8622928849796754,2.266725789793063,4.021771873497765,40989954.885028005,29632103.23161188,55974884.58691482
81.0,0.8622928849796754,2.266725789793063,4.021771873497765,40989954.885028005,29632103.23161188,55974884.58691482
82.0,0.8622928849796754,2.266725789793063,4.021771873497765,40989954.885028005,29632103.23161188,55974884.58691482
83.0,0.8622928849796754,2.266725789793063,4.021771873497765,40989954.885028005,29632103.23161188,55974884.58691482
84.0,0.8622928849796754,2.266725789793063,4.021771873497765,40989954.885028005,29632103.23161188,55974884.58691482
85.0,0.8622928849796754,2.266725789793063,4.021771873497765,40989954.885028005,29632103.23161188,55974884.58691482
86.0,0.8623022099602999,2.269182540119134,4.0230418757180715,40973260.410865515,29670783.72856327,55757153.33198572
87.0,0.8623160234592289,2.2728352079214527,4.024937584863061,40948550.49117707,29728602.22633346,55435126.814521685
88.0,0.8623299163331851,2.2765250111438653,4.0268617039947845,40923723.039847076,29787389.672507025,55111873.42761637
89.0,0.8623438892662794,2.2802524508739275,4.028814831953977,40898777.22555297,29847172.98450445,54787401.18320435
90.0,0.8623579429504814,2.2840180350367376,4.0307975831529355,40873712.20921982,29907980.068986595,54461718.66770175
91.0,0.8623720780857218,2.2878222784158564,4.032810588030726,40848527.14393117,29969839.865203705,54134835.06224131
92.0,0.8623862953800421,2.2916657026680354,4.034854493521948,40823221.174838215,30032782.39050908,53806760.16364417
93.0,0.8624005955496676,2.2955488363311796,4.036929963538825,40797793.43906916,30096838.7881246,53477504.40601224
94.0,0.8624149793191647,2.2994722148248172,4.039037679467705,40772243.06563608,30162041.377324447,53147078.882820524
95.0,0.8624294474215229,2.3034363804425975,4.041178340679408,40746569.175341286,30228423.706134144,52815495.36981235
96.0,0.8624440005983325,2.3074418823363816,4.04335266505405,40720770.88068111,30296020.606705286,52482766.34841922
97.0,0.8624491690046467,2.3088687501426874,4.044129986732403,40711615.29382506,30320229.219451327,52364798.27588898
98.0,0.8624491690046467,2.3088687501426874,4.044129986732403,40711615.29382506,30320229.219451327,52364798.27588898
99.0,0.8624491690046467,2.3088687501426874,4.044129986732403,40711615.29382506,30320229.219451327,52364798.27588898
100.0,0.8624491690046467,2.3088687501426874,4.044129986732403,40711615.29382506,30320229.219451327,52364798.27588898
